ingles,espanol,italiano,portugues,Frances
Hey! Thank you for using this SDK. on ​​your left you will find the entrance to try various tools and examples of scripts that will help you in the creation of your video game. to go to each place you only have to enter the indicated portal .and to return to the beginning P is pressed. To move the character is with WASD and Spacebar to jump. I hope it helps you!!!,Hey! Gracias por usar este SDK. a tu izquierda encontraras la entrada para ir probando diversos herramientas y ejemplos de scripts que te ayudaran en la creaciòn de tu videojuego. para ir a cada lugar solo debes de entrar en el portal indicado. y para regresar al inicio se presiona P.Para mover al presonaje es con WASD y Spacebar para saltar. Espero te sirva!!!,EHI! Grazie per aver utilizzato questo SDK. alla tua sinistra troverai l'ingresso per provare vari strumenti ed esempi di script che ti aiuteranno nella creazione del tuo videogioco. per recarsi in ogni luogo basta entrare nel portale indicato e per tornare all'inizio si preme P. Per spostare il personaggio è usare WASD e la barra spaziatrice per saltare. Spero che ti aiuti!!!,Ei! Obrigado por usar este SDK. à sua esquerda você encontrará a entrada para experimentar diversas ferramentas e exemplos de scripts que o ajudarão na criação do seu videogame. para ir a cada local basta entrar no portal indicado.e para voltar ao início P é pressionado. Para movimentar o personagem é com WASD e barra de espaço para pular. Espero que te ajude!!!,"Hé! Merci d'utiliser ce SDK. sur votre gauche vous trouverez l'entrée pour essayer divers outils et exemples de scripts qui vous aideront dans la création de votre jeu vidéo. pour aller à chaque endroit, il suffit d'entrer dans le portail indiqué et pour revenir au début, on appuie sur P. Pour déplacer le personnage, il faut utiliser WASD et la barre d'espace pour sauter. J'espère que ça t'aide!!!"
In this part you can interact and see the behavior of different platforms,En esta parte podrás interactuar y ver el comportamiento de diferentes plataformas.,In questa parte puoi interagire e vedere il comportamento delle diverse piattaforme,Nesta parte você pode interagir e ver o comportamento de diferentes plataformas,"Dans cette partie, vous pouvez interagir et voir le comportement des différentes plateformes"
In this part you can interact and see the behavior of different procedurally generated mazes,En esta parte puedes interactuar y ver el comportamiento de diferentes laberintos generados procedimentalmente.,In questa parte puoi interagire e vedere il comportamento di diversi labirinti generati proceduralmente,Nesta parte você pode interagir e ver o comportamento de diferentes labirintos gerados processualmente,"Dans cette partie, vous pouvez interagir et voir le comportement de différents labyrinthes générés de manière procédurale."
In this part you will be able to see and interact with some examples of potions that can improve the player's statistics. To activate the statistics press U,En esta parte podrás ver e interactuar con algunos ejemplos de pociones que pueden mejorar las estadísticas del jugador. Para activar las estadísticas presione U,In questa parte potrai vedere e interagire con alcuni esempi di pozioni che possono migliorare le statistiche del giocatore. Per attivare le statistiche premere U,Nesta parte você poderá ver e interagir com alguns exemplos de poções que podem melhorar as estatísticas do jogador. Para ativar as estatísticas pressione U,"Dans cette partie, vous pourrez voir et interagir avec quelques exemples de potions qui peuvent améliorer les statistiques du joueur. Pour activer les statistiques appuyez sur U"
In this part you will be able to see and interact with some examples of teleport Points,En esta parte podrás ver e interactuar con algunos ejemplos de Puntos de teletransporte.,In questa parte potrai vedere e interagire con alcuni esempi di Punti di teletrasporto,Nesta parte você poderá ver e interagir com alguns exemplos de Pontos de Teletransporte,"Dans cette partie, vous pourrez voir et interagir avec quelques exemples de points de téléportation"
In this part you will be able to see and interact with some examples of potions that can improve the player's statistics. To activate the statistics press U,En esta parte podrás ver e interactuar con algunos ejemplos de pociones que pueden mejorar las estadísticas del jugador. Para activar las estadísticas presione U,In questa parte potrai vedere e interagire con alcuni esempi di pozioni che possono migliorare le statistiche del giocatore. Per attivare le statistiche premere U,Nesta parte você poderá ver e interagir com alguns exemplos de poções que podem melhorar as estatísticas do jogador. Para ativar as estatísticas pressione U,"Dans cette partie, vous pourrez voir et interagir avec quelques exemples de potions qui peuvent améliorer les statistiques du joueur. Pour activer les statistiques appuyez sur U"
That's all. just a leap of faith,Eso es todo. solo un acto de fe,È tutto. solo un atto di fede,Isso é tudo. apenas um salto de fé,C'est tout. juste un acte de foi
Imagine all the possibilities. DARK FANTASY,Imagina todas las posibilidades. FANTASÍA OSCURA,Immagina tutte le possibilità. FANTASIA OSCURA,Imagine todas as possibilidades. FANTASIA NEGRA,Imaginez toutes les possibilités. FANTAISIE NOIRE
Imagine all the possibilities: World of platforms and sci-fi,Imagina todas las posibilidades: Mundo de plataformas y ciencia ficción,Immagina tutte le possibilità: il mondo delle piattaforme e della fantascienza,Imagine todas as possibilidades: Mundo de plataformas e ficção científica,Imaginez toutes les possibilités : monde des plateformes et de la science-fiction
Imagine all the possibilities: World of pixel art with cute monsters!,Imagina todas las posibilidades: ¡Mundo de pixel art con lindos monstruos!,Immagina tutte le possibilità: mondo di pixel art con simpatici mostri!,Imagine todas as possibilidades: Mundo de pixel art com monstros fofos!,Imaginez toutes les possibilités : un monde de pixel art avec des monstres mignons !
Hey! In this part you can see the generation of procedural maps. there are a total of 6 different techniques that were implemented. on the right you will find a panel where you can choose which maze to generate.,¡Ey! En esta parte se puede ver la generación de mapas procesales. Hay un total de 6 técnicas diferentes que se implementaron. a la derecha encontrarás un panel donde podrás elegir qué laberinto generar.,EHI! In questa parte puoi vedere la generazione delle mappe procedurali. sono state implementate un totale di 6 diverse tecniche. sulla destra troverai un pannello dove potrai scegliere quale labirinto generare.,Ei! Nesta parte você pode ver a geração dos mapas procedimentais. há um total de 6 técnicas diferentes que foram implementadas. à direita você encontrará um painel onde poderá escolher qual labirinto gerar.,"Hé! Dans cette partie vous pouvez voir la génération des cartes procédurales. il y a un total de 6 techniques différentes qui ont été mises en œuvre. sur la droite, vous trouverez un panneau où vous pourrez choisir le labyrinthe à générer."
In this part you can see on the left side below the name of the algorithm used and on the right side below the commands,En esta parte puedes ver en el lado izquierdo debajo el nombre del algoritmo utilizado y en el lado derecho debajo de los comandos.,In questa parte puoi vedere sotto a sinistra il nome dell'algoritmo utilizzato e sotto a destra i comandi,Nesta parte você pode ver no lado esquerdo abaixo o nome do algoritmo utilizado e no lado direito abaixo dos comandos,Dans cette partie vous pouvez voir à gauche en dessous le nom de l'algorithme utilisé et à droite en dessous les commandes
Algorithm Name:,Nombre del algoritmo:,Nome dell'algoritmo:,Nome do algoritmo:,Nom de l'algorithme :
Commands: E Change the Algorithm. Q Create that Maze R Reset the Maze X Destroy th current Maze,Comandos: E Cambiar el algoritmo. Q Crear ese Laberinto R Restablecer el Laberinto X Destruir el Laberinto actual,Comandi: E Cambia l'algoritmo. Q Crea quel labirinto R Resetta il labirinto X Distruggi il labirinto attuale,Comandos: E Altere o Algoritmo. Q Crie aquele Labirinto R Reinicialize o Labirinto X Destrua o Labirinto atual,Commandes : E Changer l'algorithme. Q Créer ce labyrinthe R Réinitialiser le labyrinthe X Détruire le labyrinthe actuel
