ingles,español
Hey! Thank you for using this SDK. on ​​your left you will find the entrance to try various tools and examples of scripts that will help you in the creation of your video game. to go to each place you only have to enter the indicated portal .and to return to the beginning P is pressed. To move the character is with WASD and Spacebar to jump. I hope it helps you!!!,Hey! Gracias por usar este SDK. a tu izquierda encontraras la entrada para ir probando diversos herramientas y ejemplos de scripts que te ayudaran en la creaciòn de tu videojuego. para ir a cada lugar solo debes de entrar en el portal indicado. y para regresar al inicio se presiona P.Para mover al presonaje es con WASD y Spacebar para saltar. Espero te sirva!!!
In this part you can interact and see the behavior of different platforms,En esta parte podrás interactuar y ver el comportamiento de diferentes plataformas.
In this part you can interact and see the behavior of different procedurally generated mazes,En esta parte puedes interactuar y ver el comportamiento de diferentes laberintos generados procedimentalmente.
In this part you will be able to see and interact with some examples of potions that can improve the player's statistics. To activate the statistics press U,En esta parte podrás ver e interactuar con algunos ejemplos de pociones que pueden mejorar las estadísticas del jugador. Para activar las estadísticas presione U
In this part you will be able to see and interact with some examples of teleport Points,En esta parte podrás ver e interactuar con algunos ejemplos de Puntos de teletransporte.
In this part you will be able to see and interact with some examples of potions that can improve the player's statistics. To activate the statistics press U,En esta parte podrás ver e interactuar con algunos ejemplos de pociones que pueden mejorar las estadísticas del jugador. Para activar las estadísticas presione U
That's all. just a leap of faith,Eso es todo. solo un acto de fe
Imagine all the possibilities. DARK FANTASY,Imagina todas las posibilidades. FANTASÍA OSCURA
Imagine all the possibilities: World of platforms and sci-fi,Imagina todas las posibilidades: Mundo de plataformas y ciencia ficción
Imagine all the possibilities: World of pixel art with cute monsters!,Imagina todas las posibilidades: ¡Mundo de pixel art con lindos monstruos!
Hey! In this part you can see the generation of procedural maps. there are a total of 6 different techniques that were implemented. on the right you will find a panel where you can choose which maze to generate.,¡Ey! En esta parte se puede ver la generación de mapas procesales. Hay un total de 6 técnicas diferentes que se implementaron. a la derecha encontrarás un panel donde podrás elegir qué laberinto generar.
In this part you can see on the left side below the name of the algorithm used and on the right side below the commands,En esta parte puedes ver en el lado izquierdo debajo el nombre del algoritmo utilizado y en el lado derecho debajo de los comandos.
Algorithm Name:,Nombre del algoritmo:
Commands: E Change the Algorithm. Q Create that Maze R Reset the Maze X Destroy th current Maze,Comandos: E Cambiar el algoritmo. Q Crear ese Laberinto R Restablecer el Laberinto X Destruir el Laberinto actual
